state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Montana,2/20/2020,6.0,1.0,4.0,5.0,2.0,-1.0
Nebraska,2/20/2020,1.0,-1.0,4.0,3.0,1.0,1.0
Nevada,2/20/2020,4.0,1.0,8.0,4.0,1.0,0.0
New Hampshire,2/20/2020,7.0,2.0,16.0,17.0,3.0,0.0
New Jersey,2/20/2020,1.0,-1.0,2.0,1.0,0.0,0.0
New Mexico,2/20/2020,4.0,4.0,8.0,5.0,1.0,0.0
New York,2/20/2020,2.0,-3.0,0.0,-3.0,-9.0,2.0
North Carolina,2/20/2020,-10.0,5.0,-31.0,-7.0,-6.0,7.0
North Dakota,2/20/2020,4.0,-1.0,7.0,5.0,1.0,0.0
Ohio,2/20/2020,2.0,0.0,2.0,2.0,2.0,0.0
Oklahoma,2/20/2020,2.0,0.0,-4.0,2.0,1.0,0.0
Oregon,2/20/2020,4.0,4.0,33.0,4.0,1.0,-1.0
Pennsylvania,2/20/2020,1.0,-1.0,10.0,1.0,1.0,0.0
Rhode Island,2/20/2020,4.0,-4.0,7.0,1.0,-4.0,1.0
South Carolina,2/20/2020,-7.0,-5.0,-29.0,-1.0,-1.0,4.0
South Dakota,2/20/2020,1.0,3.0,7.0,6.0,1.0,0.0
Tennessee,2/20/2020,-5.0,-3.0,-18.0,-1.0,0.0,2.0
Texas,2/20/2020,-1.0,-2.0,-13.0,-1.0,1.0,1.0
Utah,2/20/2020,4.0,6.0,17.0,4.0,2.0,0.0
Vermont,2/20/2020,7.0,2.0,2.0,7.0,-1.0,1.0
Virginia,2/20/2020,-2.0,3.0,-7.0,1.0,1.0,2.0
Washington,2/20/2020,4.0,3.0,53.0,5.0,-2.0,0.0
West Virginia,2/20/2020,2.0,-3.0,0.0,2.0,2.0,1.0
Wisconsin,2/20/2020,0.0,-1.0,-2.0,0.0,2.0,0.0
Wyoming,2/20/2020,5.0,5.0,4.0,6.0,1.0,0.0
Alabama,2/21/2020,3.0,0.0,12.0,9.0,1.0,0.0
Alaska,2/21/2020,-1.0,-2.0,1.0,5.0,5.0,0.0
